channel_id,channel_name,query_groups,search_video_count,recent_long_count,max_search_views,median_search_views,channel_url
UCAov2BBv1ZJav0c_yHEciAw,Samay Raina,everyday_history,1,1,72626716,72626716,https://www.youtube.com/channel/UCAov2BBv1ZJav0c_yHEciAw/videos
UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,everyday_history,1,1,7142824,7142824,https://www.youtube.com/channel/UC-CSyyi47VX1lD9zyeABW3w/videos
UCODHrzPMGbNv67e84WDZhQQ,fern,everyday_history,1,1,4097700,4097700,https://www.youtube.com/channel/UCODHrzPMGbNv67e84WDZhQQ/videos
UCXmqR3oz1H_dvDc6nerTvgw,The Power of the Word,everyday_history,1,1,3437270,3437270,https://www.youtube.com/channel/UCXmqR3oz1H_dvDc6nerTvgw/videos
UClGVMvGjakjZHH_TmnbxYlQ,RocaNews,everyday_history,1,1,1942780,1942780,https://www.youtube.com/channel/UClGVMvGjakjZHH_TmnbxYlQ/videos
UCq6OAftTQOuUBRdtUDq5SUA,PBS Documentaries,everyday_history,1,1,1789376,1789376,https://www.youtube.com/channel/UCq6OAftTQOuUBRdtUDq5SUA/videos
UCGBoWe1mzCvbbqDNncmxm8A,FINAiUS,everyday_history,2,2,1714120,889979,https://www.youtube.com/channel/UCGBoWe1mzCvbbqDNncmxm8A/videos
UCTTqBgYdkmFogITlPDM0M4A,DroneScapes,everyday_history,1,1,1506485,1506485,https://www.youtube.com/channel/UCTTqBgYdkmFogITlPDM0M4A/videos
UCp4wHZCrDhITkiUILOd4gRw,Documentary Central,everyday_history,1,1,1430473,1430473,https://www.youtube.com/channel/UCp4wHZCrDhITkiUILOd4gRw/videos
UCQJHoc6ncQ3-6JFROw13Zfg,Quality Rot,everyday_history,1,1,952064,952064,https://www.youtube.com/channel/UCQJHoc6ncQ3-6JFROw13Zfg/videos
UCKZozRVHRYsYHGEyNKuhhdA,Think School,everyday_history,1,1,948357,948357,https://www.youtube.com/channel/UCKZozRVHRYsYHGEyNKuhhdA/videos
UC7KItIAhUn1K1uXDGvM3TKg,Tim - Reborn History ,everyday_history,1,1,919438,919438,https://www.youtube.com/channel/UC7KItIAhUn1K1uXDGvM3TKg/videos
UC3uAjWoLZ4bSi6qI9SjALxA,Imperial War Museums,everyday_history,1,1,741217,741217,https://www.youtube.com/channel/UC3uAjWoLZ4bSi6qI9SjALxA/videos
UCufvVan2COV7M3FX5dPdlHA,Old Money Dynasty,everyday_history,1,1,664861,664861,https://www.youtube.com/channel/UCufvVan2COV7M3FX5dPdlHA/videos
UCwjI_IWt2AWVyBrQkGlrc8g,PastMorph,everyday_history,1,0,663659,663659,https://www.youtube.com/channel/UCwjI_IWt2AWVyBrQkGlrc8g/videos
UCijcd0GR0fkxCAZwkiuWqtQ,Free Documentary,everyday_history,1,1,646681,646681,https://www.youtube.com/channel/UCijcd0GR0fkxCAZwkiuWqtQ/videos
UCwe83TityghdeKjX8Sa2sqg,Lotu,everyday_history,1,1,638871,638871,https://www.youtube.com/channel/UCwe83TityghdeKjX8Sa2sqg/videos
UCmYesELO6axBrCuSpf7S9DQ,Mr. Beat,everyday_history,1,1,633206,633206,https://www.youtube.com/channel/UCmYesELO6axBrCuSpf7S9DQ/videos
UCDPnPGxw18XFq8uiJUYiO6w,Tartaria Vault,everyday_history,1,1,624291,624291,https://www.youtube.com/channel/UCDPnPGxw18XFq8uiJUYiO6w/videos
UCYoTbrSPXlwRMh8SEopZ1-g,History on a Fork,everyday_history,1,1,587984,587984,https://www.youtube.com/channel/UCYoTbrSPXlwRMh8SEopZ1-g/videos
UCpr1JAIc49gu9-FAlO4uAKw,timewarp cities,everyday_history,1,1,407491,407491,https://www.youtube.com/channel/UCpr1JAIc49gu9-FAlO4uAKw/videos
UCxr2d4As312LulcajAkKJYw,Townsends,everyday_history,1,1,364130,364130,https://www.youtube.com/channel/UCxr2d4As312LulcajAkKJYw/videos
UCYAm24PkejQR2xMgJgn7xwg,Stewart Hicks,everyday_history,1,1,350255,350255,https://www.youtube.com/channel/UCYAm24PkejQR2xMgJgn7xwg/videos
UCuJxFxVuj4s_MmupOMmDqCQ,Weirdward Bound,everyday_history,3,3,311574,40761,https://www.youtube.com/channel/UCuJxFxVuj4s_MmupOMmDqCQ/videos
UC5rP-wFWe80lXN0unKDoulg,Living Simply Australia,everyday_history,1,1,288001,288001,https://www.youtube.com/channel/UC5rP-wFWe80lXN0unKDoulg/videos
UCca-WkVPVe9nzs2iFct4wxg,Nicole Rudolph,everyday_history,1,1,236612,236612,https://www.youtube.com/channel/UCca-WkVPVe9nzs2iFct4wxg/videos
UC2U4oSgmwIsAQ8iwL5vVolQ,Wild America,everyday_history,1,1,229962,229962,https://www.youtube.com/channel/UC2U4oSgmwIsAQ8iwL5vVolQ/videos
UCkBS_xU1WQ7FVsDoQ_OPeDg,CBS Chicago,everyday_history,1,0,213936,213936,https://www.youtube.com/channel/UCkBS_xU1WQ7FVsDoQ_OPeDg/videos
UCpODODIiPAoMCiwECBPnOWQ,Native Journals,everyday_history,1,1,207957,207957,https://www.youtube.com/channel/UCpODODIiPAoMCiwECBPnOWQ/videos
UCuJBQl-_LZcFepZ_SFyhXbA,Back to Yesterday,everyday_history,2,2,184397,96557,https://www.youtube.com/channel/UCuJBQl-_LZcFepZ_SFyhXbA/videos
UCtKLvGbzqAluwUW3Ez_zeQA,Boring History Secrets ,everyday_history,1,1,181980,181980,https://www.youtube.com/channel/UCtKLvGbzqAluwUW3Ez_zeQA/videos
UCkoKI2T_WmQNVWQFCbjFGJQ,History Reconstruction,everyday_history,3,3,167207,142165,https://www.youtube.com/channel/UCkoKI2T_WmQNVWQFCbjFGJQ/videos
UChnIpd1Yj_8eaJ2IRAH-Fpw,The America We Remember,everyday_history,2,2,159398,90121,https://www.youtube.com/channel/UChnIpd1Yj_8eaJ2IRAH-Fpw/videos
UC9oGRaUTFIubLMT45nt9d4A,Metal Morph,everyday_history,1,1,137209,137209,https://www.youtube.com/channel/UC9oGRaUTFIubLMT45nt9d4A/videos
UCxenJ3JdINMVF3zG9EXtThg,Untold New York,everyday_history,1,1,135235,135235,https://www.youtube.com/channel/UCxenJ3JdINMVF3zG9EXtThg/videos
UC95ANqPeSKRNEH1CaCOs2ew,History of Simple Things,everyday_history,4,4,109923,67102,https://www.youtube.com/channel/UC95ANqPeSKRNEH1CaCOs2ew/videos
UCBHlJXCke2IYsiAH5DoP3TA,Sean Dietrich,everyday_history,1,0,108404,108404,https://www.youtube.com/channel/UCBHlJXCke2IYsiAH5DoP3TA/videos
UCMHYGplRnO9aEb7sDv7neyg,Stories of the Old World,everyday_history,1,1,107918,107918,https://www.youtube.com/channel/UCMHYGplRnO9aEb7sDv7neyg/videos
UCcUEjyUhd-s3Dj0TS0Ekjow,Sleepy History with Oliver,everyday_history,5,5,106176,16098,https://www.youtube.com/channel/UCcUEjyUhd-s3Dj0TS0Ekjow/videos
UCCwUTfKeDj4p9uTNrn9U6Sw,BBC Archive,everyday_history,1,1,92255,92255,https://www.youtube.com/channel/UCCwUTfKeDj4p9uTNrn9U6Sw/videos
UCVF60kVeMmrSrbmgZoALkQw,The Transit Diaries,everyday_history,1,1,90735,90735,https://www.youtube.com/channel/UCVF60kVeMmrSrbmgZoALkQw/videos
UCM_VDJbYR-i2zVuH5dxI3Uw,The Hidden History Project,everyday_history,1,1,89669,89669,https://www.youtube.com/channel/UCM_VDJbYR-i2zVuH5dxI3Uw/videos
UCFU0fJOB4cXWeqG1pwhcg4g,Back in Time,everyday_history,3,3,89386,246,https://www.youtube.com/channel/UCFU0fJOB4cXWeqG1pwhcg4g/videos
UClgo8akZOVpzeKm1o2oaurQ,Forgotten Labor,everyday_history,1,1,79724,79724,https://www.youtube.com/channel/UClgo8akZOVpzeKm1o2oaurQ/videos
UC-WT_x7Tpo-C1_XNJFik4ag,Dead Signal,everyday_history,1,1,69105,69105,https://www.youtube.com/channel/UC-WT_x7Tpo-C1_XNJFik4ag/videos
UCAKPIc6R4Z0AyIAFaTACCjA,Old Line Power,everyday_history,1,1,67729,67729,https://www.youtube.com/channel/UCAKPIc6R4Z0AyIAFaTACCjA/videos
UC6LYB8YhQKo2H6EK3q6U6kw,Bedtime & Historian ,everyday_history,1,1,58892,58892,https://www.youtube.com/channel/UC6LYB8YhQKo2H6EK3q6U6kw/videos
UCUSQDNI2HdeEgEJUSpaCE-A,WearyWolf Adventures,everyday_history,1,1,57508,57508,https://www.youtube.com/channel/UCUSQDNI2HdeEgEJUSpaCE-A/videos
UCXP27gIOM6MeHbTYrHrEF6w,Rail Tech Info,everyday_history,1,1,54533,54533,https://www.youtube.com/channel/UCXP27gIOM6MeHbTYrHrEF6w/videos
UCOx0bIbw8m1-VNG3duys98A,Julian News Report,everyday_history,1,1,53682,53682,https://www.youtube.com/channel/UCOx0bIbw8m1-VNG3duys98A/videos
UCyCSbQ8ycQFpptUz5k6nltw,American Food History,everyday_history,3,3,42616,10950,https://www.youtube.com/channel/UCyCSbQ8ycQFpptUz5k6nltw/videos
