query_group,query,video_id,channel_id,channel_name,title,views,published_text,age_days,duration_seconds,url
everyday_history,how people kept food cold before refrigerators history,WpbreWRwQxo,UCRzI87byCv-CL-UA18r8zKw,Before Modern Things,How People Kept Food Cold Before Refrigerators | Forgotten Food Preservation History,15,2 weeks ago,14,173,https://www.youtube.com/watch?v=WpbreWRwQxo
everyday_history,how people kept food cold before refrigerators history,cBSeSnuZU2g,UC5v5gqaKGlyGJRgS-q6r61Q,Oddly Historical,How Did People Keep Food Cold Before Refrigerators? | Forgotten History,22,3 days ago,3,381,https://www.youtube.com/watch?v=cBSeSnuZU2g
everyday_history,how people kept food cold before refrigerators history,TNR9qtMeKN8,UCzPz0M5ynSSxMg996rFi3uw,Simply Painted,How Did Humans Keep Food Cold Before Refrigerators,3,17 hours ago,0,468,https://www.youtube.com/watch?v=TNR9qtMeKN8
everyday_history,how people kept food cold before refrigerators history,tOyZi_QDhiE,UCKUSKoWc-jcPzjNPE4dAwdA,Fossil Logic,The History of Ice: How People Kept Food Cold Before Refrigerators,8,1 month ago,30,128,https://www.youtube.com/watch?v=tOyZi_QDhiE
everyday_history,how people kept food cold before refrigerators history,gRNql4WrQ1c,UCARVeVKyGy0FvyjF_kcHBwg,AncientEcho Animations,How Ancient People Kept Water & Food Cold (Before Refrigerators!) | Animated Story,2,2 days ago,2,430,https://www.youtube.com/watch?v=gRNql4WrQ1c
everyday_history,how people kept food cold before refrigerators history,Wd0sBk45dJo,UCiutd153hgs1iou36E0RfGA,Before Us Docs,"Before Refrigerators, How Did People Keep Food Cold?",128,7 days ago,7,618,https://www.youtube.com/watch?v=Wd0sBk45dJo
everyday_history,how people kept food cold before refrigerators history,IHCo-81gPf4,UCEQZMoz7hI3Qv4E7c4CIIRQ,Before Times,How Did People Keep Food Cold Before Fridges?,17,2 months ago,60,308,https://www.youtube.com/watch?v=IHCo-81gPf4
everyday_history,how people kept food cold before refrigerators history,eFJDRkXbjiA,UCakQA85kQmJKdIJJvpxSUlA,Forgotten Origins,How People Kept Food Cold for Thousands of Years | The History Of Refrigerators,90,3 weeks ago,21,941,https://www.youtube.com/watch?v=eFJDRkXbjiA
everyday_history,how people kept food cold before refrigerators history,we40CHLjeDg,UCcUUh-HCuh00bPBcQ007bTQ,olden,How Did People Keep Food Cold Before Refrigerators Existed?,1,2 days ago,2,620,https://www.youtube.com/watch?v=we40CHLjeDg
everyday_history,how people kept food cold before refrigerators history,7wzjCLaxflE,UCG26EY6_FdsHMb2WnCDV7aw,homecookbible,What People Ate Before Refrigeration | thehomecookbibl.com #foodhistory  #history  #why #what,3,5 days ago,5,601,https://www.youtube.com/watch?v=7wzjCLaxflE
