channel_id,channel_name,query_groups,search_video_count,recent_long_count,max_search_views,median_search_views,channel_url
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,technology_ai,1,1,172004093,172004093,https://www.youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA/videos
UCAov2BBv1ZJav0c_yHEciAw,Samay Raina,everyday_history,1,1,72626716,72626716,https://www.youtube.com/channel/UCAov2BBv1ZJav0c_yHEciAw/videos
UC56D-IHcUvLVFTX_8NpQMXg,Brent Rivera,geography_logistics,4,4,33888737,20782565,https://www.youtube.com/channel/UC56D-IHcUvLVFTX_8NpQMXg/videos
UC1NtcHxG3wiyhtbbPmIaMnA,MX Player by Prime Video,business_economics|culture_entertainment,6,0,29585621,97093,https://www.youtube.com/channel/UC1NtcHxG3wiyhtbbPmIaMnA/videos
UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,consumer_systems|crime_scams_mystery|culture_entertainment|economic_explainers|everyday_history|geography_logistics|history_civilization|science_engineering|work_career_education,14,14,19952653,9599679,https://www.youtube.com/channel/UC-CSyyi47VX1lD9zyeABW3w/videos
UCOM1gIM4Q_-OniEdhUvHEkA,Mr. Science,nature_animals,2,2,16719733,8811752,https://www.youtube.com/channel/UCOM1gIM4Q_-OniEdhUvHEkA/videos
UC3yjkp0I99OrcMqT83K8vPw,Filmaya,crime_scams_mystery|practical_lifestyle,2,2,10613951,5965612,https://www.youtube.com/channel/UC3yjkp0I99OrcMqT83K8vPw/videos
UCvK4bOhULCpmLabd2pDMtnA,Yes Theory,geography_logistics,1,1,10298767,10298767,https://www.youtube.com/channel/UCvK4bOhULCpmLabd2pDMtnA/videos
UC-SuHonAEkrikvs2oj7LLXg,Lifeder,science_engineering,1,1,10062632,10062632,https://www.youtube.com/channel/UC-SuHonAEkrikvs2oj7LLXg/videos
UC6WzPg6yxF9dQx2_O6R4lww,Nitish Rajput,crime_scams_mystery|geography_logistics|practical_lifestyle,4,4,8993599,5528775,https://www.youtube.com/channel/UC6WzPg6yxF9dQx2_O6R4lww/videos
UCG5_BraUMNcluZPZ__oOeKg,Natural World Facts,nature_animals|wildlife_documentaries,2,2,8522336,8522336,https://www.youtube.com/channel/UCG5_BraUMNcluZPZ__oOeKg/videos
UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,culture_entertainment|technology_ai,2,2,8473281,7614312,https://www.youtube.com/channel/UCMiJRAwDNSNzuYeN2uWa0pA/videos
UCEENWVBdvDy-QWfuQoXC9HQ,Species | Documenting AGI,speculative_scifi|technology_ai,2,2,7513732,7513732,https://www.youtube.com/channel/UCEENWVBdvDy-QWfuQoXC9HQ/videos
UCnjgxChqYYnyoqO4k_Q1d6Q,The Diary Of A CEO Clips,speculative_scifi|technology_ai,2,2,7420635,7420635,https://www.youtube.com/channel/UCnjgxChqYYnyoqO4k_Q1d6Q/videos
UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,crime_scams_mystery|history_civilization|science_engineering|speculative_scifi,10,10,7106532,1823466,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ/videos
UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris,geography_logistics|technology_ai,3,3,6978410,2750576,https://www.youtube.com/channel/UCmGSJVG3mCRXVOP4yZrU1Dw/videos
UC53cAvFeWsNwsfCQnJmLjDQ,Satvic Movement,practical_lifestyle,1,1,6914576,6914576,https://www.youtube.com/channel/UC53cAvFeWsNwsfCQnJmLjDQ/videos
UCoZd78hRUdxxsuGiABuHF_A,Historically,history_reconstruction,1,1,6535187,6535187,https://www.youtube.com/channel/UCoZd78hRUdxxsuGiABuHF_A/videos
UCVQGtUcRjHTQLTTu-5s9_4Q,Brew,crime_scams_mystery|internet_mysteries,7,7,6452186,1588522,https://www.youtube.com/channel/UCVQGtUcRjHTQLTTu-5s9_4Q/videos
UCpFFItkfZz1qz5PpHpqzYBw,Nexpo,crime_scams_mystery|internet_mysteries,2,2,6446018,6446018,https://www.youtube.com/channel/UCpFFItkfZz1qz5PpHpqzYBw/videos
UCVOKP-_OYHTnKFDSP89NfAQ,Mavora,nature_animals|wildlife_documentaries,11,11,6099297,944742,https://www.youtube.com/channel/UCVOKP-_OYHTnKFDSP89NfAQ/videos
UCxgAuX3XZROujMmGphN_scA,Mark Tilbury,economic_explainers,1,1,6071991,6071991,https://www.youtube.com/channel/UCxgAuX3XZROujMmGphN_scA/videos
UCU4SM3j_9TNWaSu8KdGV50g,Focus Features,technology_ai,1,0,6066967,6066967,https://www.youtube.com/channel/UCU4SM3j_9TNWaSu8KdGV50g/videos
UCcyOI2xMEfK940Tgwzb2VHg,Travpedia,nature_animals|wildlife_documentaries,2,2,5974772,5974772,https://www.youtube.com/channel/UCcyOI2xMEfK940Tgwzb2VHg/videos
UCnwUjPK7dXety-AJ4fNw_RQ,The Paint Explainer,crime_scams_mystery|history_civilization|internet_mysteries|science_engineering,4,4,5722207,5722207,https://www.youtube.com/channel/UCnwUjPK7dXety-AJ4fNw_RQ/videos
UC5aKead6Q8YQYjceizxJIuw,Nishu Tiwari,geography_logistics,1,1,5696924,5696924,https://www.youtube.com/channel/UC5aKead6Q8YQYjceizxJIuw/videos
UC7E9XYQ8hbV54ZDuOKYYxmA,Forrest Galante,nature_animals|wildlife_documentaries,5,5,5578844,2761955,https://www.youtube.com/channel/UC7E9XYQ8hbV54ZDuOKYYxmA/videos
UC0Ize0RLIbGdH5x4wI45G-A,Drew Binsky,crime_scams_mystery,1,1,5278688,5278688,https://www.youtube.com/channel/UC0Ize0RLIbGdH5x4wI45G-A/videos
UCbrSe4uBIeqJweOYnJAOsrw,EverythingProfessor,economic_explainers|practical_lifestyle,3,3,5197199,3035162,https://www.youtube.com/channel/UCbrSe4uBIeqJweOYnJAOsrw/videos
UCODHrzPMGbNv67e84WDZhQQ,fern,crime_scams_mystery|everyday_history|internet_mysteries|science_engineering|technology_ai,9,9,5164045,4430029,https://www.youtube.com/channel/UCODHrzPMGbNv67e84WDZhQQ/videos
UCwmZiChSryoWQCZMIQezgTg,BBC Earth,nature_animals|wildlife_documentaries,5,5,5162793,3311876,https://www.youtube.com/channel/UCwmZiChSryoWQCZMIQezgTg/videos
UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,technology_ai,1,1,5160173,5160173,https://www.youtube.com/channel/UCGq-a57w-aPwyi3pW7XLiHw/videos
UCMX31RavkfUHJvw03RbUZnA,Nick Crowley,crime_scams_mystery|internet_mysteries,2,2,5056864,5056864,https://www.youtube.com/channel/UCMX31RavkfUHJvw03RbUZnA/videos
UCaiRK8HOPpj3v-WuUsAFUZg,World Tour,nature_animals,3,3,5012515,2443044,https://www.youtube.com/channel/UCaiRK8HOPpj3v-WuUsAFUZg/videos
UCQtW2oz8ec8pHjjxawujNjg,Free Documentary - Nature,nature_animals|wildlife_documentaries,8,8,4897781,811738,https://www.youtube.com/channel/UCQtW2oz8ec8pHjjxawujNjg/videos
UCYq6HznD28CPSyrKNwqsBAQ,maximise,speculative_scifi,1,0,4679738,4679738,https://www.youtube.com/channel/UCYq6HznD28CPSyrKNwqsBAQ/videos
UCNtkMAk_Uhd2jJ9P8NWTL5w,DeCode,technology_ai,1,1,4603898,4603898,https://www.youtube.com/channel/UCNtkMAk_Uhd2jJ9P8NWTL5w/videos
UCGRryxFxjXbVAtBPE9EbyMg,Joe Bartolozzi,internet_mysteries,1,1,4512216,4512216,https://www.youtube.com/channel/UCGRryxFxjXbVAtBPE9EbyMg/videos
UCiciOsypkXcqSFqSPd-NRVA,Kallmekris,crime_scams_mystery,5,5,4391930,1344659,https://www.youtube.com/channel/UCiciOsypkXcqSFqSPd-NRVA/videos
UCL3mqmVRwHyaYc0RrwjmC-A,Digital Astronaut,science_engineering,1,1,4237491,4237491,https://www.youtube.com/channel/UCL3mqmVRwHyaYc0RrwjmC-A/videos
UCP9RPj_BG0vit2TNM7LuRxA,Crayon Capital,business_economics|crime_scams_mystery|economic_explainers|internet_mysteries,5,5,4193659,2305818,https://www.youtube.com/channel/UCP9RPj_BG0vit2TNM7LuRxA/videos
UCjz8uBTLs0f7Fnlxc5nzT5g,Wonny,culture_entertainment|psychology_society,2,2,4187240,3173876,https://www.youtube.com/channel/UCjz8uBTLs0f7Fnlxc5nzT5g/videos
UCTSRIY3GLFYIpkR2QwyeklA,Drew Gooden,technology_ai,1,1,4168595,4168595,https://www.youtube.com/channel/UCTSRIY3GLFYIpkR2QwyeklA/videos
UCLD2ZkdEkAKhDETsK6QeDnA,Farrell McGuire,crime_scams_mystery|internet_mysteries|psychology_society,11,11,4102410,1760573,https://www.youtube.com/channel/UCLD2ZkdEkAKhDETsK6QeDnA/videos
UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,business_economics|history_civilization|history_reconstruction|practical_lifestyle|science_engineering|speculative_scifi,7,7,4010024,2586585,https://www.youtube.com/channel/UCpVm7bg6pXKo1Pr6k5kxG9A/videos
UC-mP1nlk0qOutA08zuQHORA,Patrick Cc:,consumer_systems,1,1,3860814,3860814,https://www.youtube.com/channel/UC-mP1nlk0qOutA08zuQHORA/videos
UC5FCyk1QkTBLgWm-w866PGg,Epic AI Films,science_engineering|speculative_scifi,3,3,3821495,3821495,https://www.youtube.com/channel/UC5FCyk1QkTBLgWm-w866PGg/videos
UCkO3uAmES7hmFfLOBRgzY_Q,Wronged,crime_scams_mystery,2,2,3738858,2480173,https://www.youtube.com/channel/UCkO3uAmES7hmFfLOBRgzY_Q/videos
UCOT2iLov0V7Re7ku_3UBtcQ,Hank Green,economic_explainers|technology_ai,2,2,3691702,3691702,https://www.youtube.com/channel/UCOT2iLov0V7Re7ku_3UBtcQ/videos
UCfdNM3NAhaBOXCafH7krzrA,The Infographics Show,business_economics|economic_explainers|practical_lifestyle|psychology_society|science_engineering|technology_ai|work_career_education,15,14,3679842,907433,https://www.youtube.com/channel/UCfdNM3NAhaBOXCafH7krzrA/videos
UCeJrRK_Pt1m23l5zgSytVUA,duplee,psychology_society,1,1,3670908,3670908,https://www.youtube.com/channel/UCeJrRK_Pt1m23l5zgSytVUA/videos
UCGAmpBtWveYp0-3v9npnhvQ,Chilling Scares,crime_scams_mystery|internet_mysteries,7,7,3644885,2070277,https://www.youtube.com/channel/UCGAmpBtWveYp0-3v9npnhvQ/videos
UCvv62HsDWDxfwH2oL10ilvQ,Planet Vista 4K,practical_lifestyle,1,1,3597550,3597550,https://www.youtube.com/channel/UCvv62HsDWDxfwH2oL10ilvQ/videos
UCehBVAPy-bxmnbNARF-_tvA,More Perfect Union,consumer_systems|technology_ai,6,6,3582664,2514780,https://www.youtube.com/channel/UCehBVAPy-bxmnbNARF-_tvA/videos
UCZ4AMrDcNrfy3X6nsU8-rPg,Economics Explained,culture_entertainment|economic_explainers|practical_lifestyle|technology_ai,6,6,3562913,585193,https://www.youtube.com/channel/UCZ4AMrDcNrfy3X6nsU8-rPg/videos
UCIFk2uvCNcEmZ77g0ESKLcQ,The Why Files,speculative_scifi,1,1,3542197,3542197,https://www.youtube.com/channel/UCIFk2uvCNcEmZ77g0ESKLcQ/videos
