channel_id,channel_name,query_groups,joined_date,subscribers,video_count,max_search_views,extracted_videos,extracted_long_videos,median_latest_10,median_latest_20,max_latest_20,latest_20_over_10k,latest_20_over_50k,latest_20_over_100k,latest_20_over_1m,latest_20_zero_or_missing,views_to_subs_median_10,country,canonical_url,videos_status
UCEn5V6xJZxLfOm94fvo2wUw,Animated Archives HQ,crime_scams_mystery,2026-07-25,379,11,51904,11,11,423,479,52000,1,1,0,0,0,1.1174,Saudi Arabia,http://www.youtube.com/@AnimatedArchivesHQ,ok
UC6AwWrRKNrwt83CMJqeTUzw,Mr. Finance,culture_entertainment,2026-06-28,65400,66,73065,30,30,2250,2950,16000,2,0,0,0,0,0.0344,,http://www.youtube.com/@misterfinanceyt,ok
UCKhpM-cu2Cod-GyG6KngNYg,Logical Money,practical_lifestyle,2026-06-27,17000,11,944206,10,10,2700,2700,945000,2,2,2,0,0,0.1588,United Arab Emirates,http://www.youtube.com/@LogicalMoney72,ok
UCRxTw7KfR1afSuRHDzkyHNA,pepecore.,history_civilization,2026-05-24,6850,12,127703,12,12,7700,9200,271000,5,3,2,0,0,1.1241,Canada,http://www.youtube.com/@pepecore-1,ok
UCdi-rTleLSNBYEVOWuAic5w,Paint Maniac,internet_mysteries,2026-05-23,28600,11,532832,11,11,204500,184000,532000,11,11,10,0,0,7.1503,,http://www.youtube.com/@PaintManiac-u5v,ok
UCkoKI2T_WmQNVWQFCbjFGJQ,History Reconstruction,history_reconstruction,2026-05-19,29600,72,169426,30,30,1550,1300,31000,1,0,0,0,0,0.0524,Brazil,http://www.youtube.com/@HistoryReconstructionTV,ok
UCOx0bIbw8m1-VNG3duys98A,Julian News Report,everyday_history,2026-05-15,29200,73,53682,30,30,21500,23500,146000,13,5,2,0,0,0.7363,United States,http://www.youtube.com/@JulianNewsReport,ok
UClVmPVF1AxBkx-hcA371RoQ,Wrongly Assumed,history_civilization,2026-05-11,2940,12,200200,12,11,2866,933,535000,4,3,3,0,0,0.975,Romania,http://www.youtube.com/@WronglyAssumed,ok
UC-WT_x7Tpo-C1_XNJFik4ag,Dead Signal,everyday_history,2026-05-08,177000,172,69105,30,28,3450,12000,59000,11,1,0,0,0,0.0195,,http://www.youtube.com/@Deadsignalinvestigation,ok
UCjIjoDsnz_ygrp2UhiBDZEw,Oldies Radio Station,internet_mysteries,2026-05-03,3720,31,234976,30,30,5500,13500,146000,11,4,1,0,0,1.4785,United States,http://www.youtube.com/@OldiesRadioStation_99,ok
UCytiKJcsuKFARvAeUABvRBA,HinExp,technology_ai,2026-04-19,45300,33,197716,30,30,27500,48500,355000,18,10,6,0,0,0.6071,India,http://www.youtube.com/@HinExpofficial,ok
UC42T20axeJ0I8Htezap9PiQ,Monstrous Machines,history_civilization,2026-04-10,2560,29,87689,29,29,7550,4950,87000,4,2,0,0,0,2.9492,United States,http://www.youtube.com/@monstrousmachines1,ok
UCuJxFxVuj4s_MmupOMmDqCQ,Weirdward Bound,everyday_history,2026-04-09,41800,106,311574,30,30,2450,3800,32000,4,0,0,0,0,0.0586,,http://www.youtube.com/@WeirdwardBound,ok
UCywCTTyUWYsLo2-87I6XgkQ,The Net Explainer,internet_mysteries,2026-04-09,6680,13,232696,13,13,19500,22000,232000,8,3,3,0,0,2.9192,United States,http://www.youtube.com/@TheNetExplainer,ok
UC7lSvMZ4xHbj_P_sUpoFxmg,History Unwalled,history_reconstruction,2026-03-21,15100,41,212408,30,30,2700,2100,42000,3,0,0,0,0,0.1788,,http://www.youtube.com/@HistoryUnwalled,ok
UCqUbOMOi-G__aTSOQmNCXpw,Hidden Compass,geography_logistics,2026-03-16,16400,60,56273,30,30,9600,14000,557000,11,5,3,0,0,0.5854,United States,http://www.youtube.com/@HiddenCompass-1,ok
UCMHYGplRnO9aEb7sDv7neyg,Stories of the Old World,everyday_history,2026-03-14,1800,16,107918,16,16,752,498,107000,2,1,1,0,0,0.4181,Canada,http://www.youtube.com/@StoriesoftheOldWorld,ok
UCfW7Uk_vJfa2t5IeWikYv6Q,Explained In minutes,economic_explainers,2026-02-26,120000,2,594802,2,2,1347000,1347000,2100000,2,2,2,1,0,11.225,India,http://www.youtube.com/@xplainedInminutess,ok
UCM_VDJbYR-i2zVuH5dxI3Uw,The Hidden History Project,everyday_history,2026-02-20,29300,348,89669,28,25,2950,7300,334000,8,3,1,0,0,0.1007,United States,http://www.youtube.com/@The-Hidden-History-Project,ok
UCQJHoc6ncQ3-6JFROw13Zfg,Quality Rot,everyday_history,2026-02-19,23100,90,952064,30,28,347,478,41000,1,0,0,0,0,0.015,United States,http://www.youtube.com/@QualityRot,ok
UCcUEjyUhd-s3Dj0TS0Ekjow,Sleepy History with Oliver,history_civilization,2026-01-31,30200,188,72211,30,30,2350,4050,13000,3,0,0,0,0,0.0778,United States,http://www.youtube.com/@SleepyHistorywithOliver,ok
UCj4qrWgL8bmAfBTr6EwThow,Survival Alex,nature_animals,2026-01-26,14200,98,1373606,30,30,13000,17000,159000,15,6,2,0,0,0.9155,United States,http://www.youtube.com/@survivalalex-c6w,ok
UCcTBzAu-sSTjffEKastwhbA,BomboWannaKnow,wildlife_documentaries,2026-01-16,1050,8,108394,8,8,4200,4200,108000,2,1,1,0,0,4.0,United States,http://www.youtube.com/@BomboWannaKnow,ok
UCXgYsaO70gBNGcmpGKnln1Q,Worlds Before Us,history_reconstruction,2026-01-08,42900,63,947496,30,30,16500,16500,135000,13,6,1,0,0,0.3846,Portugal,http://www.youtube.com/@WorldsBeforeUsofficial,ok
UCTmNedKNPb9LtVqAjH-D4Uw,Aurelume Films,speculative_scifi,2025-12-31,57900,7,3003837,7,6,977500,977500,3100000,6,5,5,3,0,16.8826,United States,http://www.youtube.com/@AurelumeFilms,ok
UCxbnsftoQou1IfWZlEb_1iA,SPACE BEFOREAFTER,science_engineering,2025-12-27,18100,196,809534,30,30,355,355,862,0,0,0,0,0,0.0196,United States,http://www.youtube.com/@space-before-after,ok
UC9ZBqKzvc6heH9Tui25fP0w,Biome Science,wildlife_documentaries,2025-12-26,736,7,177561,5,3,2300,2300,177000,1,1,1,0,0,3.125,South Africa,http://www.youtube.com/@Biomescience,ok
UC5M4AITera9RmytwHTIQWvQ,Andrew Restores History,history_reconstruction,2025-12-26,12800,44,62883,30,30,208,353,20000,1,0,0,0,0,0.0163,United States,http://www.youtube.com/@AndrewRestoresHistory-k3n,ok
UCe9imMhDp6Kn3dn75mzUUZw,GaiaDocs,nature_animals,2025-12-23,47000,65,1255019,30,30,131500,20500,2300000,11,7,6,2,0,2.7979,Australia,http://www.youtube.com/@gaiadocsEN,ok
UCSAKn7R948auGKixely8yLg,Master POV,culture_entertainment,2025-12-23,102000,113,423903,30,30,42000,45500,272000,20,9,6,0,0,0.4118,United States,http://www.youtube.com/@MasterPOVs,ok
UCtEtiJyqe8KnUb5jEF3SiEQ,kwy true tale,speculative_scifi,2025-12-22,79800,9,2597919,9,9,596000,596000,2900000,8,7,7,3,0,7.4687,,http://www.youtube.com/@kwytruetale,ok
