channel_id,channel_name,query_groups,search_video_count,recent_long_count,max_search_views,median_search_views,channel_url
UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,economic_explainers,2,2,10132182,9577796,https://www.youtube.com/channel/UC-CSyyi47VX1lD9zyeABW3w/videos
UCG5_BraUMNcluZPZ__oOeKg,Natural World Facts,wildlife_documentaries,1,1,8522336,8522336,https://www.youtube.com/channel/UCG5_BraUMNcluZPZ__oOeKg/videos
UCEENWVBdvDy-QWfuQoXC9HQ,Species | Documenting AGI,speculative_scifi,1,1,7513732,7513732,https://www.youtube.com/channel/UCEENWVBdvDy-QWfuQoXC9HQ/videos
UCnjgxChqYYnyoqO4k_Q1d6Q,The Diary Of A CEO Clips,speculative_scifi,1,1,7420635,7420635,https://www.youtube.com/channel/UCnjgxChqYYnyoqO4k_Q1d6Q/videos
UCoZd78hRUdxxsuGiABuHF_A,Historically,history_reconstruction,1,1,6535187,6535187,https://www.youtube.com/channel/UCoZd78hRUdxxsuGiABuHF_A/videos
UCpFFItkfZz1qz5PpHpqzYBw,Nexpo,internet_mysteries,1,1,6446018,6446018,https://www.youtube.com/channel/UCpFFItkfZz1qz5PpHpqzYBw/videos
UCxgAuX3XZROujMmGphN_scA,Mark Tilbury,economic_explainers,1,1,6071991,6071991,https://www.youtube.com/channel/UCxgAuX3XZROujMmGphN_scA/videos
UCcyOI2xMEfK940Tgwzb2VHg,Travpedia,wildlife_documentaries,1,1,5974772,5974772,https://www.youtube.com/channel/UCcyOI2xMEfK940Tgwzb2VHg/videos
UCnwUjPK7dXety-AJ4fNw_RQ,The Paint Explainer,internet_mysteries,1,1,5722207,5722207,https://www.youtube.com/channel/UCnwUjPK7dXety-AJ4fNw_RQ/videos
UCMX31RavkfUHJvw03RbUZnA,Nick Crowley,internet_mysteries,1,1,5056864,5056864,https://www.youtube.com/channel/UCMX31RavkfUHJvw03RbUZnA/videos
UCYq6HznD28CPSyrKNwqsBAQ,maximise,speculative_scifi,1,0,4679738,4679738,https://www.youtube.com/channel/UCYq6HznD28CPSyrKNwqsBAQ/videos
UCGRryxFxjXbVAtBPE9EbyMg,Joe Bartolozzi,internet_mysteries,1,1,4512216,4512216,https://www.youtube.com/channel/UCGRryxFxjXbVAtBPE9EbyMg/videos
UCODHrzPMGbNv67e84WDZhQQ,fern,internet_mysteries,1,1,4430029,4430029,https://www.youtube.com/channel/UCODHrzPMGbNv67e84WDZhQQ/videos
UCP9RPj_BG0vit2TNM7LuRxA,Crayon Capital,economic_explainers|internet_mysteries,2,2,4193659,2305818,https://www.youtube.com/channel/UCP9RPj_BG0vit2TNM7LuRxA/videos
UCLD2ZkdEkAKhDETsK6QeDnA,Farrell McGuire,internet_mysteries,5,5,4102410,1623944,https://www.youtube.com/channel/UCLD2ZkdEkAKhDETsK6QeDnA/videos
UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,history_reconstruction|speculative_scifi,2,2,4010024,2586585,https://www.youtube.com/channel/UCpVm7bg6pXKo1Pr6k5kxG9A/videos
UCGAmpBtWveYp0-3v9npnhvQ,Chilling Scares,internet_mysteries,5,5,3644885,2070277,https://www.youtube.com/channel/UCGAmpBtWveYp0-3v9npnhvQ/videos
UCIFk2uvCNcEmZ77g0ESKLcQ,The Why Files,speculative_scifi,1,1,3542197,3542197,https://www.youtube.com/channel/UCIFk2uvCNcEmZ77g0ESKLcQ/videos
UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,speculative_scifi,2,2,3433663,1823466,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ/videos
UCwmZiChSryoWQCZMIQezgTg,BBC Earth,wildlife_documentaries,1,1,3311876,3311876,https://www.youtube.com/channel/UCwmZiChSryoWQCZMIQezgTg/videos
UCsM3qWjsbJr5Kt7_Q1ulLjg,Rachitroo,internet_mysteries,1,1,3139125,3139125,https://www.youtube.com/channel/UCsM3qWjsbJr5Kt7_Q1ulLjg/videos
UCKZozRVHRYsYHGEyNKuhhdA,Think School,economic_explainers,4,4,3124422,1091595,https://www.youtube.com/channel/UCKZozRVHRYsYHGEyNKuhhdA/videos
UCb9gttCzPcabOnq1nFYPwsw,Cryton,internet_mysteries,2,2,3044923,2365997,https://www.youtube.com/channel/UCb9gttCzPcabOnq1nFYPwsw/videos
UCTmNedKNPb9LtVqAjH-D4Uw,Aurelume Films,speculative_scifi,1,1,3003837,3003837,https://www.youtube.com/channel/UCTmNedKNPb9LtVqAjH-D4Uw/videos
UCJjUlbs-ZEo4draiZzz66sQ,WILD NATURE - Nature animal documentary,wildlife_documentaries,9,9,2992292,131635,https://www.youtube.com/channel/UCJjUlbs-ZEo4draiZzz66sQ/videos
UC00ifCvU8YOOzbL3RdiSTDw,GetsetflySCIENCE by Gaurav Thakur,speculative_scifi,1,1,2937925,2937925,https://www.youtube.com/channel/UC00ifCvU8YOOzbL3RdiSTDw/videos
UCGy7SkBjcIAgTiwkXEtPnYg,Andrei Jikh,economic_explainers,3,3,2824397,1604087,https://www.youtube.com/channel/UCGy7SkBjcIAgTiwkXEtPnYg/videos
UC7E9XYQ8hbV54ZDuOKYYxmA,Forrest Galante,wildlife_documentaries,1,1,2761955,2761955,https://www.youtube.com/channel/UC7E9XYQ8hbV54ZDuOKYYxmA/videos
UCx4MRJZPmX9rb6Y7PGmU2Bg,Survive Plus,wildlife_documentaries,1,1,2724903,2724903,https://www.youtube.com/channel/UCx4MRJZPmX9rb6Y7PGmU2Bg/videos
UCt3JiNkefsfbA2N4SgEkoiQ,Visual Venture,internet_mysteries,13,13,2622223,1763348,https://www.youtube.com/channel/UCt3JiNkefsfbA2N4SgEkoiQ/videos
UCtEtiJyqe8KnUb5jEF3SiEQ,kwy true tale,speculative_scifi,1,1,2597919,2597919,https://www.youtube.com/channel/UCtEtiJyqe8KnUb5jEF3SiEQ/videos
UCmOCpBKeoBPp-HwarhIBA2g,Best Documentary,economic_explainers|history_reconstruction,3,3,2538647,118175,https://www.youtube.com/channel/UCmOCpBKeoBPp-HwarhIBA2g/videos
UCkCGANrihzExmu9QiqZpPlQ,How Money Works,economic_explainers,1,1,2436775,2436775,https://www.youtube.com/channel/UCkCGANrihzExmu9QiqZpPlQ/videos
UCe9imMhDp6Kn3dn75mzUUZw,GaiaDocs,wildlife_documentaries,3,3,2325795,1255224,https://www.youtube.com/channel/UCe9imMhDp6Kn3dn75mzUUZw/videos
UCF_y2shYA8CSd8ZoSlbNjtw,Nations Uncovered,wildlife_documentaries,2,2,2320764,1950886,https://www.youtube.com/channel/UCF_y2shYA8CSd8ZoSlbNjtw/videos
UCmbF1cyNa6y7uNYiqYmSVJw,LITTLE BIT BETTER,economic_explainers,1,1,2306817,2306817,https://www.youtube.com/channel/UCmbF1cyNa6y7uNYiqYmSVJw/videos
UCdsOTr6SmDrxuWE7sJFrkhQ,BBC Earth Science,speculative_scifi,1,1,2280662,2280662,https://www.youtube.com/channel/UCdsOTr6SmDrxuWE7sJFrkhQ/videos
UCmHWbnzyRvVvkrSXFdZp7tg,NullSpace,speculative_scifi,1,1,2151986,2151986,https://www.youtube.com/channel/UCmHWbnzyRvVvkrSXFdZp7tg/videos
